Annotator	Data set	ID	Text	Is it offensive?	Is it a slur?	Is it adjective nominalization	Is it distancing
C	M	2b	Why don't gays like being girly? Cause a gay is normally called girly. 	Y	N	Y	N
E	M	2b	Why don't gays like being girly? Cause a gay is normally called girly. 	N	N	Y	N
B	M	2a	Did you mean Hillary Clinton shouldn’t be president, or no female should be president? 	N	N	Y	N
E	M	2a	Did you mean Hillary Clinton shouldn’t be president, or no female should be president? 	N	N	Y	N
F	M	2a	Did you mean Hillary Clinton shouldn’t be president, or no female should be president? 	N	N	Y	N
B	WH	2941145694z	RT @TRobinsonNewEra: The @BBCNews have disgraced our country . First they covered for Seville,then they failed with muslims rapes,now this â€¦	N	N	Y	N
E	WH	2941145694z	RT @TRobinsonNewEra: The @BBCNews have disgraced our country . First they covered for Seville,then they failed with muslims rapes,now this â€¦	Y	N	Y	Y
F	WH	2941145694z	RT @TRobinsonNewEra: The @BBCNews have disgraced our country . First they covered for Seville,then they failed with muslims rapes,now this â€¦	Y	N	Y	N
A	WH	2941145694y	RT @pies_n_prophet: @HPluckrose @RichardDawkins 'these people do not share your values' former archbishop of Mosul we project our enlighteâ€¦	N	N	N	N
B	WH	2941145694y	RT @pies_n_prophet: @HPluckrose @RichardDawkins 'these people do not share your values' former archbishop of Mosul we project our enlighteâ€¦	N	N	N	N
C	WH	2941145694y	RT @pies_n_prophet: @HPluckrose @RichardDawkins 'these people do not share your values' former archbishop of Mosul we project our enlighteâ€¦	N	N	N	N
C	WH	2941145694x	RT @MsRock4Ever: bitch mcconnell has been a 30-year parasite and we can not afford him any longer. @VoteBlue, Vote @AlisonForKY	Y	Y	N	N
E	WH	2941145694x	RT @MsRock4Ever: bitch mcconnell has been a 30-year parasite and we can not afford him any longer. @VoteBlue, Vote @AlisonForKY	Y	Y	N	N
F	WH	2941145694x	RT @MsRock4Ever: bitch mcconnell has been a 30-year parasite and we can not afford him any longer. @VoteBlue, Vote @AlisonForKY	Y	Y	N	N
D	WH	2941145694w	RT @Angel__Kitty: These women are fighting against Islam in most unusual way~ http://t.co/yjw5iBDXfN				
E	WH	2941145694w	RT @Angel__Kitty: These women are fighting against Islam in most unusual way~ http://t.co/yjw5iBDXfN	N	N	N	N
F	WH	2941145694w	RT @Angel__Kitty: These women are fighting against Islam in most unusual way~ http://t.co/yjw5iBDXfN	N	N	N	N
C	WH	2941145694v	lol tell Liv none of her usual redneck hillbilly places an none of ur black gangsta places either	N	Y	N	N
E	WH	2941145694v	lol tell Liv none of her usual redneck hillbilly places an none of ur black gangsta places either	Y	N	N	N
F	WH	2941145694v	lol tell Liv none of her usual redneck hillbilly places an none of ur black gangsta places either	Y	N	N	Y
C	WH	2941145694u	I hate when those little white kids try and act black .	Y	N	N	N
E	WH	2941145694u	I hate when those little white kids try and act black .	N	N	N	N
F	WH	2941145694u	I hate when those little white kids try and act black .	Y	N	N	Y
B	WH	2941145694t	@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam	Y	N	Y	N
E	WH	2941145694t	@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam	Y	N	Y	Y
F	WH	2941145694t	@ummayman90 The only reason the overall numbers increase is because Muslims breed like rats, just like their prophet told them to do. #Islam	Y	N	Y	Y
B	WH	2941145694s	@ummayman90 #Islam tarnishes itself. I just point out the truth of what is there, and you try to rationalize it because you are ashamed.	Y	N	N	N
E	WH	2941145694s	@ummayman90 #Islam tarnishes itself. I just point out the truth of what is there, and you try to rationalize it because you are ashamed.	Y	N	N	N
F	WH	2941145694s	@ummayman90 #Islam tarnishes itself. I just point out the truth of what is there, and you try to rationalize it because you are ashamed.	Y	N	N	N
D	WH	2941145694r	@tti1947 Furthermore, those Jews were not nomads. In fact, the city of Medina was established by Jews before Mohammed attacked them.				
E	WH	2941145694r	@tti1947 Furthermore, those Jews were not nomads. In fact, the city of Medina was established by Jews before Mohammed attacked them.	N	N	Y	N
F	WH	2941145694r	@tti1947 Furthermore, those Jews were not nomads. In fact, the city of Medina was established by Jews before Mohammed attacked them.	N	N	Y	N
D	WH	2941145694q	@shehzilk @watan71969 Those Jews are assholes. Most Jews are secular and humanist. Most Muslims are Islamists. http://t.co/GQx6BZAFJ5	Y	N	N	Y
E	WH	2941145694q	@shehzilk @watan71969 Those Jews are assholes. Most Jews are secular and humanist. Most Muslims are Islamists. http://t.co/GQx6BZAFJ5	Y	N	Y	Y
F	WH	2941145694q	@shehzilk @watan71969 Those Jews are assholes. Most Jews are secular and humanist. Most Muslims are Islamists. http://t.co/GQx6BZAFJ5	Y	N	Y	Y
D	WH	2941145694p	@PressTV Like every Muslim country, they find money for weapons, but they don't have the money for schools.	Y	N	N	Y
E	WH	2941145694p	@PressTV Like every Muslim country, they find money for weapons, but they don't have the money for schools.	Y	N	N	Y
F	WH	2941145694p	@PressTV Like every Muslim country, they find money for weapons, but they don't have the money for schools.	Y	N	N	Y
D	WH	2941145694o	@ottomanland @loveconcursall Brilliant how the English spy and t Israelis got Erdogan to let all those terrorists into Syria through Turkey				
E	WH	2941145694o	@ottomanland @loveconcursall Brilliant how the English spy and t Israelis got Erdogan to let all those terrorists into Syria through Turkey	N	N	Y	N
F	WH	2941145694o	@ottomanland @loveconcursall Brilliant how the English spy and t Israelis got Erdogan to let all those terrorists into Syria through Turkey	Y	Y	N	N
B	WH	2941145694n	@nader_haq @MadDr11 No, that was just your pedophile prophet making excuses to slaughter them and steal their land and property.	Y	Y	N	N
E	WH	2941145694n	@nader_haq @MadDr11 No, that was just your pedophile prophet making excuses to slaughter them and steal their land and property.	Y	N	N	Y
F	WH	2941145694n	@nader_haq @MadDr11 No, that was just your pedophile prophet making excuses to slaughter them and steal their land and property.	Y	Y	N	N
D	WH	2941145694m	@nader_haq @MadDr11 @MaxBlumenthal These Muslims are babies are trained to kill, scum. http://t.co/jaWq72xkfF	Y	N	N	Y
E	WH	2941145694m	@nader_haq @MadDr11 @MaxBlumenthal These Muslims are babies are trained to kill, scum. http://t.co/jaWq72xkfF	Y	N	Y	N
F	WH	2941145694m	@nader_haq @MadDr11 @MaxBlumenthal These Muslims are babies are trained to kill, scum. http://t.co/jaWq72xkfF	Y	Y	Y	Y
D	WH	2941145694k	@MikePrysner @ChristophHeer52 Where is your evidence that any of these people are Nazis, Putin troll.				
E	WH	2941145694k	@MikePrysner @ChristophHeer52 Where is your evidence that any of these people are Nazis, Putin troll.	N	N	N	N
F	WH	2941145694k	@MikePrysner @ChristophHeer52 Where is your evidence that any of these people are Nazis, Putin troll.	N	Y	N	N
B	WH	2941145694j	@MaxBlumenthal In the meantime the terrorists who want to destroy Israel have murdered hundreds of thousands and scum like you excuse them.	N	N	N	N
E	WH	2941145694j	@MaxBlumenthal In the meantime the terrorists who want to destroy Israel have murdered hundreds of thousands and scum like you excuse them.	Y	N	N	N
F	WH	2941145694j	@MaxBlumenthal In the meantime the terrorists who want to destroy Israel have murdered hundreds of thousands and scum like you excuse them.	Y	N	Y	Y
D	WH	2941145694i	@KhaledHamaki The leader of those terrorists has a Phd in Islam. It is you that are purposely trying to mislead western audiences.	Y	N	N	Y
E	WH	2941145694i	@KhaledHamaki The leader of those terrorists has a Phd in Islam. It is you that are purposely trying to mislead western audiences.	N	N	N	Y
F	WH	2941145694i	@KhaledHamaki The leader of those terrorists has a Phd in Islam. It is you that are purposely trying to mislead western audiences.	Y	N	N	Y
B	WH	2941145694h	@Just_Nafisa @FatimaFatwa @eS3udi @JRehling 2.3% my ass. At least half of them are murderous lunatics. http://t.co/uFqtM3HhyD	Y	Y	N	N
E	WH	2941145694h	@Just_Nafisa @FatimaFatwa @eS3udi @JRehling 2.3% my ass. At least half of them are murderous lunatics. http://t.co/uFqtM3HhyD	Y	N	N	Y
F	WH	2941145694h	@Just_Nafisa @FatimaFatwa @eS3udi @JRehling 2.3% my ass. At least half of them are murderous lunatics. http://t.co/uFqtM3HhyD	Y	Y	N	Y
D	WH	2941145694g	@JohnMannMP @JoRitson Now you assholes continue to victimize those girls by trying to create distractions while letting the rapists go free.	N	N	N	N
E	WH	2941145694g	@JohnMannMP @JoRitson Now you assholes continue to victimize those girls by trying to create distractions while letting the rapists go free.	N	N	N	N
F	WH	2941145694g	@JohnMannMP @JoRitson Now you assholes continue to victimize those girls by trying to create distractions while letting the rapists go free.	Y	Y	N	N
B	WH	2941145694f	@iyad_elbaghdadi You are wrong about that. By definition, if they are really Muslims, they are terrorist.	Y	N	Y	N
E	WH	2941145694f	@iyad_elbaghdadi You are wrong about that. By definition, if they are really Muslims, they are terrorist.	Y	N	Y	Y
F	WH	2941145694f	@iyad_elbaghdadi You are wrong about that. By definition, if they are really Muslims, they are terrorist.	Y	N	Y	Y
D	WH	2941145694e	@fulaan_hazm So they have to imprison the people of Mosul and not allow them to leave. Islam is a religion of slaves and slavery.	Y	N	Y	N
E	WH	2941145694e	@fulaan_hazm So they have to imprison the people of Mosul and not allow them to leave. Islam is a religion of slaves and slavery.	N	N	N	N
F	WH	2941145694e	@fulaan_hazm So they have to imprison the people of Mosul and not allow them to leave. Islam is a religion of slaves and slavery.	Y	N	N	Y
B	WH	2941145694d	@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about	Y	Y	N	N
E	WH	2941145694d	@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about	Y	N	N	Y
F	WH	2941145694d	@etsho127 @SumerSloan @PAWarnhoff Furthermore,your pedo prophet attacked cities with catapults killing children.So what are you crying about	Y	Y	N	Y
B	WH	2941145694c	@DianH4 @ExposeFalsehood I think you are pretty stupid.Girls are not even adults when they are 15. At 9 they are children playing with dolls	Y	N	N	N
E	WH	2941145694c	@DianH4 @ExposeFalsehood I think you are pretty stupid.Girls are not even adults when they are 15. At 9 they are children playing with dolls	N	N	N	N
F	WH	2941145694c	@DianH4 @ExposeFalsehood I think you are pretty stupid.Girls are not even adults when they are 15. At 9 they are children playing with dolls	Y	N	N	N
A	WH	2941145694b	@curdistani The scary thing is that these people are the leaders of their culture. He should get together with Oktar and his anti-evolution.	N	N	N	N
B	WH	2941145694b	@curdistani The scary thing is that these people are the leaders of their culture. He should get together with Oktar and his anti-evolution.	N	N	N	Y
C	WH	2941145694b	@curdistani The scary thing is that these people are the leaders of their culture. He should get together with Oktar and his anti-evolution.	Y	N	N	N
B	D	2941145694ab	The good news of the day is that the Islamofascist bastard Ayatollah Khamenei has died. May he rot in hell with his 72 virgin pigs. #Islam	Y	Y	N	N
E	D	2941145694ab	The good news of the day is that the Islamofascist bastard Ayatollah Khamenei has died. May he rot in hell with his 72 virgin pigs. #Islam	Y	N	N	N
F	D	2941145694ab	The good news of the day is that the Islamofascist bastard Ayatollah Khamenei has died. May he rot in hell with his 72 virgin pigs. #Islam	Y	Y	N	N
B	WH	2941145694aa	Why do these so called Moderate Muslims never ask themselves why Islam has over 100 terrorist groups and no other religion is remotely close	Y	N	Y	Y
E	WH	2941145694aa	Why do these so called Moderate Muslims never ask themselves why Islam has over 100 terrorist groups and no other religion is remotely close	Y	N	Y	Y
F	WH	2941145694aa	Why do these so called Moderate Muslims never ask themselves why Islam has over 100 terrorist groups and no other religion is remotely close	Y	N	Y	Y
D	WH	2941145694a	@AbuYigitAlCahrz @LeonardoMaxwel1 Did the western media throw these gays off a building? http://t.co/7Av9DDDc2v	Y	N	N	Y
E	WH	2941145694a	@AbuYigitAlCahrz @LeonardoMaxwel1 Did the western media throw these gays off a building? http://t.co/7Av9DDDc2v	Y	N	Y	N
F	WH	2941145694a	@AbuYigitAlCahrz @LeonardoMaxwel1 Did the western media throw these gays off a building? http://t.co/7Av9DDDc2v	Y	N	Y	N
D	WH	2756873076c	RT @Beowolf72: @MT8_9 @egyptinparadise @JudgyBitch1 those women are OK....Can't tell a woman how to dress.........Oh, wait a tick... http:/â€¦	N	N	N	N
E	WH	2756873076c	RT @Beowolf72: @MT8_9 @egyptinparadise @JudgyBitch1 those women are OK....Can't tell a woman how to dress.........Oh, wait a tick... http:/â€¦	N	N	N	N
F	WH	2756873076c	RT @Beowolf72: @MT8_9 @egyptinparadise @JudgyBitch1 those women are OK....Can't tell a woman how to dress.........Oh, wait a tick... http:/â€¦	N	N	N	N
B	WH	2756873076b	@BlackOpal80 ...as soon as you follow enough known anti-feminists their block list activates and blocks you. Possible she is unaware of me.	N	N	N	N
E	WH	2756873076b	@BlackOpal80 ...as soon as you follow enough known anti-feminists their block list activates and blocks you. Possible she is unaware of me.	N	N	N	N
F	WH	2756873076b	@BlackOpal80 ...as soon as you follow enough known anti-feminists their block list activates and blocks you. Possible she is unaware of me.	N	N	N	Y
D	WH	2756873076a	.@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	Y	N	N	N
E	WH	2756873076a	.@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	N	N	N	N
F	WH	2756873076a	.@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	Y	N	N	Y
A	WH	2756873076a	@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	N	N	N	N
D	WH	2756873076a	@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	Y	N	N	N
E	WH	2756873076a	@eaballesty @dileted @tim_geelen Those women are not exploited. They make a calculated choice to use sex to advance careers.	N	N	N	Y
B	M	211b	ya know, you could just hand out some of that isk to us poors.	N	N	Y	N
D	M	211b	ya know, you could just hand out some of that isk to us poors.	N	N	Y	N
F	M	211b	ya know, you could just hand out some of that isk to us poors.	Y	N	Y	N
C	M	211a	A female insulted you like that and I'm sure many other females will giggle as they all "you go girl" on her but still you can't see them for what they truly are - evil. 	Y	N	Y	N
E	M	211a	A female insulted you like that and I'm sure many other females will giggle as they all "you go girl" on her but still you can't see them for what they truly are - evil. 	Y	N	Y	N
F	M	211a	A female insulted you like that and I'm sure many other females will giggle as they all "you go girl" on her but still you can't see them for what they truly are - evil. 	Y	N	Y	Y
C	M	208b	There was also some angry females like myself against feminism by speaking out by commenting on Yahoo news comments section.	N	N	Y	N
E	M	208b	There was also some angry females like myself against feminism by speaking out by commenting on Yahoo news comments section.	N	N	Y	N
F	M	208b	There was also some angry females like myself against feminism by speaking out by commenting on Yahoo news comments section.	N	N	Y	N
A	M	208a	 Trump: "We have a divided nation." And I plan to keep it that way. Keep it in the inner city, you poors. #debate	Y	N	Y	Y
C	M	208a	 Trump: "We have a divided nation." And I plan to keep it that way. Keep it in the inner city, you poors. #debate	Y	N	Y	N
E	M	208a	 Trump: "We have a divided nation." And I plan to keep it that way. Keep it in the inner city, you poors. #debate	N	N	Y	N
A	D	2-AP	@AhleFars So they blow up statues and churches and attack civilians because it's all they can do as they "die in their rage".	Y	N	N	N
C	D	2-AP	@AhleFars So they blow up statues and churches and attack civilians because it's all they can do as they "die in their rage".	Y	N	N	N
D	D	2-AP	@AhleFars So they blow up statues and churches and attack civilians because it's all they can do as they "die in their rage".				
B	M	1b	as she is not the right person to run our country, but more importantly a female shouldn’t be president	N	N	Y	N
E	M	1b	as she is not the right person to run our country, but more importantly a female shouldn’t be president	Y	N	Y	N
F	M	1b	as she is not the right person to run our country, but more importantly a female shouldn’t be president	Y	N	Y	N
A	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	Y	N
B	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	Y	N
C	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	Y	N
C	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	Y	N
D	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	N	N	N	N
F	M	1a	Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal.	Y	N	Y	N
B	M	183b	it happened when they let the poors in.	Y	N	Y	N
E	M	183b	it happened when they let the poors in.	Y	N	Y	Y
F	M	183b	it happened when they let the poors in.	Y	N	Y	N
A	M	183a	1. Build Wall - no new illegals coming in	Y	N	Y	N
B	M	183a	1. Build Wall - no new illegals coming in	Y	N	Y	Y
C	M	183a	1. Build Wall - no new illegals coming in	Y	N	Y	N
A	M	181c	We are so fucking overpopulated that there is no way I (if I were a judge) would consider that argument valid in a case of banning gay marriage.	N	Y	N	N
C	M	181c	We are so fucking overpopulated that there is no way I (if I were a judge) would consider that argument valid in a case of banning gay marriage.	N	N	N	N
E	M	181c	We are so fucking overpopulated that there is no way I (if I were a judge) would consider that argument valid in a case of banning gay marriage.	N	N	N	N
B	M	181b	Let's see if the poors respond	N	N	Y	N
E	M	181b	Let's see if the poors respond	Y	N	Y	N
F	M	181b	Let's see if the poors respond	Y	N	Y	N
A	M	181a	But the illegals are willing to do the jobs that Americans don't want to do...like vote democrat.	Y	N	Y	N
B	M	181a	But the illegals are willing to do the jobs that Americans don't want to do...like vote democrat.	N	N	Y	N
C	M	181a	But the illegals are willing to do the jobs that Americans don't want to do...like vote democrat.	Y	N	Y	N
A	M	180b	Let's be honest here, most legal Mexican immigrants are the anchor baby descendents of illegals	Y	N	Y	N
B	M	180b	Let's be honest here, most legal Mexican immigrants are the anchor baby descendents of illegals	Y	N	Y	N
C	M	180b	Let's be honest here, most legal Mexican immigrants are the anchor baby descendents of illegals	Y	N	Y	N
A	M	180a	As a gay Iowan who is married, thank you for representing us (Iowans) as rational intelligent human beings.	N	N	N	N
C	M	180a	As a gay Iowan who is married, thank you for representing us (Iowans) as rational intelligent human beings.	N	N	Y	N
E	M	180a	As a gay Iowan who is married, thank you for representing us (Iowans) as rational intelligent human beings.	N	N	N	N
A	M	179b	Most legal Mexicans HATE illegals waving Mexican flags.	Y	N	Y	N
B	M	179b	Most legal Mexicans HATE illegals waving Mexican flags.	Y	N	Y	N
C	M	179b	Most legal Mexicans HATE illegals waving Mexican flags.	Y	N	Y	N
A	M	179a	Because gay people don't accidentally have kids. It turns out, people who actually WANT kids make better parents!	N	N	N	N
C	M	179a	Because gay people don't accidentally have kids. It turns out, people who actually WANT kids make better parents!	N	N	Y	N
E	M	179a	Because gay people don't accidentally have kids. It turns out, people who actually WANT kids make better parents!	N	N	N	N
A	M	176b	ONCE AN ILLEGAL, ALWAYS AN ILLEGAL I SAY! GET EM OUTTA HERE!	Y	N	Y	Y
B	M	176b	ONCE AN ILLEGAL, ALWAYS AN ILLEGAL I SAY! GET EM OUTTA HERE!	Y	N	Y	Y
C	M	176b	ONCE AN ILLEGAL, ALWAYS AN ILLEGAL I SAY! GET EM OUTTA HERE!	Y	N	Y	N
A	M	176a	I don't wanna pay the poors healthcare when I myself cant afford to go to the doc bc I'm payin so damn much for ins #debate2016 #debate	Y	N	Y	N
C	M	176a	I don't wanna pay the poors healthcare when I myself cant afford to go to the doc bc I'm payin so damn much for ins #debate2016 #debate	Y	N	Y	N
E	M	176a	I don't wanna pay the poors healthcare when I myself cant afford to go to the doc bc I'm payin so damn much for ins #debate2016 #debate	Y	N	Y	N
D	M	174b	Sadly this isn't always the case, because a lot of those legals used to be illegals.	Y	N	Y	N
E	M	174b	Sadly this isn't always the case, because a lot of those legals used to be illegals.	N	N	Y	N
F	M	174b	Sadly this isn't always the case, because a lot of those legals used to be illegals.	Y	N	Y	Y
A	M	174a	Marriage costs the government money, so banning gay marriage is thrifty.	N	N	N	N
C	M	174a	Marriage costs the government money, so banning gay marriage is thrifty.	Y	N	N	N
E	M	174a	Marriage costs the government money, so banning gay marriage is thrifty.	N	N	N	N
D	M	173b	legals hate illegals.	Y	N	Y	Y
E	M	173b	legals hate illegals.	Y	N	Y	N
F	M	173b	legals hate illegals.	Y	N	Y	N
A	M	173a	Banning gay marriage will promote the stability of straight marriages.	N	N	N	N
C	M	173a	Banning gay marriage will promote the stability of straight marriages.	Y	N	N	N
E	M	173a	Banning gay marriage will promote the stability of straight marriages.	N	N	N	N
A	M	172b	Banning gay marriage will raise birth rates somehow. Babies babies babies.	N	N	N	N
C	M	172b	Banning gay marriage will raise birth rates somehow. Babies babies babies.	Y	N	N	N
E	M	172b	Banning gay marriage will raise birth rates somehow. Babies babies babies.	N	N	N	N
D	M	172a	Asians hate illegals.	Y	N	Y	Y
E	M	172a	Asians hate illegals.	Y	N	Y	N
F	M	172a	Asians hate illegals.	Y	N	Y	N
D	M	169b	Whites hate illegals.	Y	N	Y	Y
E	M	169b	Whites hate illegals.	Y	N	Y	N
F	M	169b	Whites hate illegals.	Y	N	Y	N
A	M	169a	Children are important, and banning gay marriage promotes an optimal environment for raising them.	N	N	N	N
C	M	169a	Children are important, and banning gay marriage promotes an optimal environment for raising them.	Y	N	N	N
E	M	169a	Children are important, and banning gay marriage promotes an optimal environment for raising them.	Y	N	N	N
D	M	167b	they're usually fake paperwork like STOLEN social security numbers (look up how illegals steal the dead's stolen numbers plus babies' stolen numbers), fake green cards, fake consular papers, fake birth certificates, etc.	Y	N	Y	N
E	M	167b	they're usually fake paperwork like STOLEN social security numbers (look up how illegals steal the dead's stolen numbers plus babies' stolen numbers), fake green cards, fake consular papers, fake birth certificates, etc.	Y	N	Y	N
F	M	167b	they're usually fake paperwork like STOLEN social security numbers (look up how illegals steal the dead's stolen numbers plus babies' stolen numbers), fake green cards, fake consular papers, fake birth certificates, etc.	Y	N	Y	Y
A	M	167a	Can't say I am against gay marriage, but that is the only argument I've heard against it that makes near any sense.	N	N	N	N
C	M	167a	Can't say I am against gay marriage, but that is the only argument I've heard against it that makes near any sense.	Y	N	N	N
E	M	167a	Can't say I am against gay marriage, but that is the only argument I've heard against it that makes near any sense.	N	N	N	N
A	M	165c	Most of the arguments that I see against gay marriage invoke religious texts or figures.	N	N	N	N
C	M	165c	Most of the arguments that I see against gay marriage invoke religious texts or figures.	N	N	N	N
E	M	165c	Most of the arguments that I see against gay marriage invoke religious texts or figures.	N	N	N	N
B	M	165b	makes voting disproportionate - without citing that you were talking about ALL females and not just the voting population of, usually, 18 and older) not all voters turn-out,	N	N	N	N
E	M	165b	makes voting disproportionate - without citing that you were talking about ALL females and not just the voting population of, usually, 18 and older) not all voters turn-out,	N	N	Y	N
F	M	165b	makes voting disproportionate - without citing that you were talking about ALL females and not just the voting population of, usually, 18 and older) not all voters turn-out,	N	N	Y	N
D	M	165a	I've seen stories circulating over the past few months that claim many illegals are going back to Mexico on their own, that the net flow is actually negative (ie implying Trump is exaggerating the problem or that it will fix itself).	Y	N	Y	N
D	M	165a	I've seen stories circulating over the past few months that claim many illegals are going back to Mexico on their own, that the net flow is actually negative (ie implying Trump is exaggerating the problem or that it will fix itself).	Y	N	Y	N
E	M	165a	I've seen stories circulating over the past few months that claim many illegals are going back to Mexico on their own, that the net flow is actually negative (ie implying Trump is exaggerating the problem or that it will fix itself).	N	N	Y	N
F	M	165a	I've seen stories circulating over the past few months that claim many illegals are going back to Mexico on their own, that the net flow is actually negative (ie implying Trump is exaggerating the problem or that it will fix itself).	N	N	Y	N
B	M	164b	Give us a coupon code for us POORS	N	N	Y	N
D	M	164b	Give us a coupon code for us POORS	N	N	Y	N
F	M	164b	Give us a coupon code for us POORS	Y	N	Y	N
A	D	164a	"@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;" HELL YEAH NIGGY	N	Y	Y	N
B	D	164a	"@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;" HELL YEAH NIGGY	N	Y	Y	N
D	D	164a	"@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;" HELL YEAH NIGGY	Y	Y	N	N
B	WH	1622445516b	I REALLY HOPE THESE GIRLS DO A GOOD DESERT!!! #mkr	N	N	N	N
F	WH	1622445516b	I REALLY HOPE THESE GIRLS DO A GOOD DESERT!!! #mkr	N	N	N	N
B	WH	1622445516a	Hope these girls do amazing with their main course!!!!! @patrick6152 #mkr #mkr2015	N	N	N	N
F	WH	1622445516a	Hope these girls do amazing with their main course!!!!! @patrick6152 #mkr #mkr2015	N	N	N	N
B	M	159c	The poors always cracks me up!	N	N	Y	N
D	M	159c	The poors always cracks me up!	Y	N	Y	N
F	M	159c	The poors always cracks me up!	Y	N	Y	Y
A	M	159b	I hear you’re moving to the city to live with the blacks and the gays	Y	N	Y	N
C	M	159b	I hear you’re moving to the city to live with the blacks and the gays	Y	N	Y	N
E	M	159b	I hear you’re moving to the city to live with the blacks and the gays	Y	N	Y	N
A	D	159a	"@KeyshawnSwag: Lmfao this cat started beating the shit out of me" my nigga finally got some pussy?!? MY NIGGA!!!	N	Y	Y	N
B	D	159a	"@KeyshawnSwag: Lmfao this cat started beating the shit out of me" my nigga finally got some pussy?!? MY NIGGA!!!	N	Y	Y	N
D	D	159a	"@KeyshawnSwag: Lmfao this cat started beating the shit out of me" my nigga finally got some pussy?!? MY NIGGA!!!	N	Y	N	N
B	M	158c	We should isolate all the gays to prevent them from reproducing.	Y	N	Y	N
F	M	158c	We should isolate all the gays to prevent them from reproducing.	Y	N	Y	Y
D	M	158b	We all realize it sucks for illegals but that really just shouldn't be America's problem and the future of our society is at stake.	Y	N	Y	Y
E	M	158b	We all realize it sucks for illegals but that really just shouldn't be America's problem and the future of our society is at stake.	Y	N	Y	Y
F	M	158b	We all realize it sucks for illegals but that really just shouldn't be America's problem and the future of our society is at stake.	Y	N	Y	N
A	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
B	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
C	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
D	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
E	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
F	M	158a	The uncultured poors complaining again? Lol	Y	N	Y	N
B	M	156m	Those gays are after our kids!	Y	N	Y	N
F	M	156m	Those gays are after our kids!	Y	N	Y	Y
A	D	156a	"@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro" theyll never be loyal that y they hoes my nig	Y	Y	Y	N
B	D	156a	"@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro" theyll never be loyal that y they hoes my nig	Y	Y	Y	N
D	D	156a	"@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro" theyll never be loyal that y they hoes my nig	Y	Y	N	N
B	M	154b	At least they talked about collagen tuition. The poors really need that.	Y	N	Y	N
D	M	154b	At least they talked about collagen tuition. The poors really need that.	Y	N	Y	N
F	M	154b	At least they talked about collagen tuition. The poors really need that.	Y	N	Y	N
B	M	154a	America is being menaced by gays!	Y	N	Y	N
C	M	154a	America is being menaced by gays!	Y	N	Y	N
F	M	154a	America is being menaced by gays!	Y	N	Y	N
B	M	152b	Only the gays or allies of the gays get to call us "gays", @realDonaldTrump. "Gay people would be respectful term from your type #debate	Y	N	Y	N
F	M	152b	Only the gays or allies of the gays get to call us "gays", @realDonaldTrump. "Gay people would be respectful term from your type #debate	N	N	Y	N
D	M	152a	it's just a strategy, they imagine if they pander to illegals now, their children will grow up knowing the mercy of the liberal elite.				
